;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰⺡&GT-04385;
M-20988 	&I-M-20988;	⿰⺩&I-M-03363;
M-20989 	&I-M-20989;	⿰⺩弟
M-20990 	&I-M-20990;	⿰⺩武
M-20991 	&M-20991;	
M-20992 	&M-20992;	
M-20993 	&I-M-20993;	⿰⺩吾
M-20994 	&I-M-20994;	
M-20995 	&M-20995;	
M-20996 	&M-20996;	
M-20997 	&I-M-20997;	⿰⺩君
M-20998 	&I-M-20998;	⿰⺩每
M-20999 	&M-20999;	
M-21000 	&I-M-21000;	⿰⺩貝
M-21001 	&I-M-21001;	
M-21002 	&M-21002;	
M-21003 	&M-21003;	
M-21004 	&I-M-21004;	⿰⺩見
M-21005 	&M-21005;	
M-21006 	&I-M-21006;	⿰⺩足
M-21007 	&I-M-21007;	⿰⺩&GT-04213;
M-21008 	&I-M-21008;	⿰⺩&CDP-8DA6;
M-21009 	&M-21009;	
M-21010 	&M-21010;	
M-21011 	&I-M-21011;	⿰⺩求
M-21012 	&I-M-21012;	⿰⺩肙
M-21013 	&I-M-21013;	⿰⺩&GT-39586;
M-21014 	&I-M-21014;	⿰⺩里
M-21015 	&I-M-21015;	⿰⺩秀
M-21016 	&I-M-21016;	⿰⺩&GT-08748;
M-21017 	&M-21017;	
M-21018 	&I-M-21018;	⿰⺩邪
M-21019 	&M-21019;	
M-21020 	&M-21020;	
M-21021 	&I-M-21021;	⿰⺩希
M-21022 	&M-21022;	
M-21023 	&M-21023;	
M-21024 	&I-M-21024;	⿰⺩&GT-09990;
M-21025 	&M-21025;	
M-21026 	&M-21026;	
M-21027 	&M-21027;	
M-21028 	&I-M-21028;	⿰⺩利
M-21029 	&M-21029;	
M-21030 	&M-21030;	
M-21031 	&M-21031;	
M-21032 	&I-M-21032;	⿰⺩卑
M-21033 	&M-21033;	
M-21034 	&M-21034;	
M-21035 	&M-21035;	
M-21036 	&M-21036;	
M-21037 	&M-21037;	
M-21038 	&M-21038;	
M-21039 	&M-21039;	
M-21040 	&I-M-21040;	⿰⺩戔
M-21041 	&M-21041;	⿰⺩&GT-03504;
M-21042 	&I-M-21042;	⿰⺩昏
M-21043 	&I-M-21043;	⿰⺩或
M-21044 	𤦒	
M-21045 	&M-21045;	
M-21046 	㻕	
M-21047 	&I-M-21047;	⿰⺩居
M-21048 	&M-21048;	
M-21049 	&I-M-21049;	
M-21050 	&I-M-21050;	⿰⺩來
M-21051 	&M-21051;	
M-21052 	&M-21052;	⿰⺩&M-13775;
M-21053 	&I-M-21053;	⿱明玉
M-21054 	&M-21054;	
M-21055 	&M-21055;	⿰⺩&GT-56353;
M-21056 	&I-M-21056;	⿰⺩典
M-21057 	&I-M-21057;	⿰⺩叔
M-21058 	&I-M-21058;	⿰⺩&M-36338;
M-21059 	&I-M-21059;	⿰⺩&GT-04385;
M-21060 	&I-M-21060;	
M-21061 	&I-M-21061;	⿰⺩&GT-44178;
M-21062 	&I-M-21062;	⿰⺩奇
M-21063 	𤦁	
M-21064 	&I-M-21064;	⿱亞玉
M-21065 	&I-M-21065;	⿰⺩昆
M-21066 	&I-M-21066;	⿰⺩昌
M-21067 	&I-M-21067;	⿰⺩其
M-21068 	&I-M-21068;	⿰⺩奉
M-21069 	&I-M-21069;	
M-21070 	&I-M-21070;	⿰⺩&M-09918;
M-21071 	&M-21071;	
M-21072 	&I-M-21072;	
M-21073 	&I-M-21073;	⿰⺩炎
M-21074 	&I-M-21074;	
M-21075 	&I-M-21075;	
M-21076 	&M-21076;	
M-21077 	&I-M-21077;	⿰⺩林
M-21078 	&I-M-21078;	
M-21079 	&I-M-21079;	⿱玨今󠄀
M-21080 	&I-M-21080;	⿱玨比
M-21081 	&I-M-21081;	⿱玨巴
M-21082 	&M-21082;	
M-21083 	&M-21083;	⿰⺩羌
M-21084 	&I-M-21084;	⿰⺩卓
M-21085 	𤦮	
M-21086 	&M-21086;	
M-21087 	𤦤	
M-21088 	&I-M-21088;	⿰⺩法
M-21089 	𤦑	
M-21090 	𤦨	
M-21091 	&M-21091;	⿰⺩者
M-21092 	&I-M-21092;	⿰⺩界
M-21093 	&I-M-21093;	⿰⺩軍
M-21094 	㻝	
M-21095 	&I-M-21095;	⿰⺩禹
M-21096 	&I-M-21096;	⿰⺩冒
M-21097 	&I-M-21097;	⿰⺩眉
M-21098 	&I-M-21098;	⿰⺩&GT-17504;
M-21099 	&I-M-21099;	
M-21100 	&I-M-21100;	⿰⺩是
M-21101 	&I-M-21101;	⿰⺩星
M-21102 	&I-M-21102;	⿰⺩毒
M-21103 	&M-21103;	⿰⺩柔
M-21104 	&I-M-21104;	⿰⺩⿱民日
M-21105 	&I-M-21105;	⿰⺩咸
M-21106 	&M-21106;	
M-21107 	&M-21107;	⿰⺩韋
M-21108 	&M-21108;	⿰⺩耎
M-21109 	&I-M-21109;	⿰⺩&GT-07458;
M-21110 	&I-M-21110;	⿰⺩皆
M-21111 	&M-21111;	⿰⺩&M-25436;
M-21112 	&M-21112;	⿰⺩&M-02011;
M-21113 	&I-M-21113;	⿰⺩&GT-12518;
M-21114 	&I-M-21114;	⿰⺩昜
M-21115 	&I-M-21115;	⿰⺩柬
M-21116 	&M-21116;	
M-21117 	&I-M-21117;	⿰⺩泉
M-21118 	&M-21118;	
M-21119 	&M-21119;	
M-21120 	&I-M-21120;	⿰⺩叚
M-21121 	&M-21121;	⿰⺩&GT-21312;
M-21122 	&I-M-21122;	
M-21123 	&M-21123;	
M-21124 	&I-M-21124;	⿰⺩耶
M-21125 	&I-M-21125;	⿰⺩&CDP-8CE8;
M-21126 	&I-M-21126;	⿰⺩胡
M-21127 	&M-21127;	
M-21128 	&M-21128;	
M-21129 	&I-M-21129;	
M-21130 	&I-M-21130;	⿰⺩皇
M-21131 	&I-M-21131;	⿰⺩耑
M-21132 	&M-21132;	
M-21133 	&I-M-21133;	⿱玨必
M-21134 	𤦳	
M-21135 	&M-21135;	
M-21136 	&M-21136;	
M-21137 	𤦼	
M-21138 	&M-21138;	
M-21139 	&M-21139;	
M-21140 	&M-21140;	
M-21141 	&M-21141;	
M-21142 	&M-21142;	
M-21143 	&I-M-21143;	⿰⺩留
M-21144 	&I-M-21144;	⿰⺩師
M-21145 	&M-21145;	
M-21146 	&I-M-21146;	
M-21147 	&I-M-21147;	
M-21148 	&I-M-21148;	⿰⺩𧴲
M-21149 	&I-M-21149;	⿰⺩&M-28120;
M-21150 	&M-21150;	
M-21151 	&I-M-21151;	⿰⺩𥁕
M-21152 	&I-M-21152;	⿰⺩烏
M-21153 	&I-M-21153;	⿰⺩&GT-32227;
M-21154 	&I-M-21154;	⿰⺩晉
M-21155 	&I-M-21155;	⿱&CDP-8BE3;玉
M-21156 	&I-M-21156;	⿰⺩馬
M-21157 	&I-M-21157;	
M-21158 	&M-21158;	
M-21159 	&M-21159;	
M-21160 	&I-M-21160;	⿱&GT-22445;玉
M-21161 	&I-M-21161;	
M-21162 	&I-M-21162;	⿰⺩栗
M-21163 	&I-M-21163;	
M-21164 	&I-M-21164;	
M-21165 	&M-21165;	
M-21166 	&M-21166;	
M-21167 	&I-M-21167;	
M-21168 	&M-21168;	
M-21169 	&I-M-21169;	
M-21170 	&I-M-21170;	⿰⺩差
M-21171 	&M-21171;	⿰⿱&CDP-8D44;王&GT-21300;
M-21172 	&I-M-21172;	⿰⺩蚤
M-21173 	&M-21173;	
M-21174 	&I-M-21174;	
M-21175 	&I-M-21175;	⿱⿻人玨比
M-21176 	&M-21176;	
M-21177 	&I-M-21177;	⿰⿻人玨巴
M-21178 	&M-21178;	
M-21179 	&I-M-21179;	⿳⿰⺩王冖⿰力力
M-21180 	&M-21180;	
M-21181 	&M-21181;	⿰⺩&M-31008;
M-21182 	&I-M-21182;	⿰⺩常
M-21183 	&I-M-21183;	⿰⺩貫
M-21184 	&M-21184;	
M-21185 	&I-M-21185;	⿰⺩專
M-21186 	&I-M-21186;	⿰⺩從
M-21187 	&I-M-21187;	⿰⺩堇
M-21188 	&I-M-21188;	⿱&CDP-8CD2;玉
M-21189 	&M-21189;	
M-21190 	&M-21190;	
M-21191 	&M-21191;	
M-21192 	&M-21192;	
M-21193 	&I-M-21193;	
M-21194 	&I-M-21194;	
M-21195 	&I-M-21195;	⿰⺩基
M-21196 	&I-M-21196;	⿰⺩&M-24888;
M-21197 	&M-21197;	
M-21198 	&M-21198;	
M-21199 	&M-21199;	
M-21200 	&M-21200;	
M-21201 	&I-M-21201;	⿰⺩巢
M-21202 	&I-M-21202;	
M-21203 	&I-M-21203;	
M-21204 	&I-M-21204;	⿰⺩敖
M-21205 	&M-21205;	
M-21206 	&I-M-21206;	
M-21207 	&M-21207;	
M-21208 	&I-M-21208;	⿰⺩㒼󠄀
M-21209 	&M-21209;	
M-21210 	&M-21210;	
M-21211 	&I-M-21211;	⿰⺩&GT-33228;
M-21212 	&M-21212;	
M-21213 	&M-21213;	
M-21214 	&M-21214;	
M-21215 	&M-21215;	
M-21216 	&M-21216;	
M-21217 	&M-21217;	
M-21218 	&M-21218;	
M-21219 	&M-21219;	⿰⺩&GT-09033;
M-21220 	&I-M-21220;	⿰⺩婁
M-21221 	&I-M-21221;	⿱士⿳冖⿰口口王
M-21222 	&I-M-21222;	⿰⺩⿱⺴釆
M-21223 	&I-M-21223;	⿰⺩⿱廿𠕒
M-21223'	璓	⿰⺩莠
M-21224 	&I-M-21224;	⿰⺩彘
M-21225 	&I-M-21225;	⿰⺩路
M-21226 	&I-M-21226;	⿰⺩無
M-21227 	&I-M-21227;	⿰⺩登
M-21228 	&M-21228;	
M-21229 	&M-21229;	
M-21230 	&I-M-21230;	
M-21231 	&I-M-21231;	⿰⺩&GT-09374;
M-21232 	&M-21232;	
M-21233 	&I-M-21233;	⿰⺩渠
M-21234 	&M-21234;	
M-21235 	&I-M-21235;	⿱湯玉
M-21236 	&I-M-21236;	⿰⺩粦
M-21237 	&M-21237;	
M-21238 	&I-M-21238;	⿰⺩&CDP-8CF2;
M-21239 	&I-M-21239;	⿰⺩&M-23863;
M-21240 	&M-21240;	
M-21241 	&I-M-21241;	⿰⺩肅
M-21242 	&I-M-21242;	
M-21243 	&M-21243;	
M-21244 	&I-M-21244;	⿰⺩貴
M-21245 	&I-M-21245;	⿰⺩菐
M-21246 	&I-M-21246;	
M-21247 	&I-M-21247;	⿰⺩番
M-21248 	&I-M-21248;	
M-21249 	&I-M-21249;	⿰⺩畱
M-21250 	&M-21250;	
M-21251 	&M-21251;	
M-21252 	&M-21252;	
M-21253 	&I-M-21253;	
M-21254 	&M-21254;	
M-21255 	&M-21255;	
M-21256 	&M-21256;	
M-21257 	&M-21257;	
M-21258 	&M-21258;	
M-21259 	&M-21259;	
M-21260 	&M-21260;	
M-21261 	&M-21261;	
M-21262 	&M-21262;	
M-21263 	&M-21263;	
M-21264 	&M-21264;	
M-21265 	&M-21265;	
M-21266 	&I-M-21266;	
M-21267 	&M-21267;	
M-21268 	&M-21268;	
M-21269 	&I-M-21269;	⿱&GT-51571;玉
M-21270 	&I-M-21270;	⿰⺩粲
M-21271 	&I-M-21271;	⿰⺩&GT-48799;
M-21272 	&M-21272;	
M-21273 	&I-M-21273;	⿰⺩喿
M-21274 	&M-21274;	
M-21275 	&M-21275;	
M-21276 	&I-M-21276;	⿰⺩當
M-21277 	&M-21277;	⿰⺩&CDP-8CDF;
M-21278 	&M-21278;	⿰⺩運
M-21279 	&M-21279;	
M-21280 	&M-21280;	
M-21281 	&M-21281;	
M-21282 	&I-M-21282;	⿰⺩亶󠄀
M-21283 	&M-21283;	
M-21284 	&I-M-21284;	⿰⺩會
M-21285 	&M-21285;	
M-21286 	&M-21286;	
M-21287 	&I-M-21287;	⿰⺩睘
M-21288 	&I-M-21288;	⿰⺩瑟
M-21289 	㻿	
M-21290 	&I-M-21290;	
M-21291 	&M-21291;	
M-21292 	&M-21292;	
M-21293 	&M-21293;	⿰⺩⿱朱貝
M-21294 	&M-21294;	
M-21295 	&M-21295;	
M-21296 	&M-21296;	
M-21297 	&I-M-21297;	⿰⺩與
M-21298 	&M-21298;	
M-21299 	&I-M-21299;	⿰⺩盡
M-21300 	&M-21300;	
M-21301 	&M-21301;	
M-21302 	&I-M-21302;	⿰⺩&M-36788;
M-21303 	&M-21303;	
M-21304 	&I-M-21304;	⿰⺩壽
M-21305 	&I-M-21305;	⿱⿻&CDP-8B64;同玉
M-21306 	&M-21306;	
M-21307 	&I-M-21307;	
M-21308 	&I-M-21308;	⿰⺩&GT-29504;
M-21309 	&I-M-21309;	⿱爾玉
M-21310 	&I-M-21310;	⿰⺩&GT-66354;
M-21311 	&I-M-21311;	⿰⺩睿
M-21312 	&M-21312;	
M-21313 	&I-M-21313;	⿰⺩需
M-21314 	&M-21314;	
M-21315 	&M-21315;	
M-21316 	&M-21316;	⿰⺩&GT-42188;
M-21317 	&I-M-21317;	⿰⺩&M-31652;
M-21318 	&M-21318;	
M-21319 	&I-M-21319;	⿰⺩畾
M-21320 	&M-21320;	⿰⺩賣
M-21321 	&I-M-21321;	⿰⺩樂
M-21322 	&I-M-21322;	⿰⺩質
M-21323 	&M-21323;	⿰⺩&M-11170;
M-21324 	&I-M-21324;	⿰⺩黎
M-21325 	&M-21325;	
M-21326 	&M-21326;	
M-21327 	&I-M-21327;	⿰⺩賛
M-21328 	&I-M-21328;	⿰⺩敻
M-21329 	&I-M-21329;	⿰⺩⿹&CDP-8BA4;目
M-21330 	&I-M-21330;	⿰⺩畿
M-21331 	&I-M-21331;	⿰⺩&CDP-8572;
M-21332 	&I-M-21332;	⿱⿻&CDP-8B64;缶玉
M-21333 	&M-21333;	
M-21334 	&M-21334;	
M-21334'	&GT-27332;	⿰⺩&M-13359;
M-21335 	&I-M-21335;	⿰⺩歷
M-21336 	&I-M-21336;	⿰⺩&I-M-34514;
M-21337 	&M-21337;	
M-21338 	&I-M-21338;	⿰⺩隨
M-21339 	&I-M-21339;	⿰⺩&I-M-36861;
M-21340 	&I-M-21340;	⿰⺩&GT-66672;
M-21341 	&I-M-21341;	⿰⺩盧
M-21342 	&M-21342;	
M-21343 	&M-21343;	
M-21344 	&M-21344;	
M-21345 	&M-21345;	
M-21346 	&I-M-21346;	⿰⺩闌
M-21347 	&I-M-21347;	⿰⺩嬰
M-21348 	&M-21348;	
M-21349 	&I-M-21349;	⿱彌玉
M-21350 	&I-M-21350;	⿰⺩&GT-46582;
M-21351 	&M-21351;	
M-21352 	&M-21352;	
M-21353 	&M-21353;	
M-21354 	&M-21354;	
M-21355 	&M-21355;	⿰⺩&M-08595;
M-21356 	&M-21356;	
M-21357 	&I-M-21357;	
M-21358 	&I-M-21358;	⿰⺩燾
M-21359 	&M-21359;	
M-21360 	&M-21360;	
M-21361 	&I-M-21361;	⿰⺩贊
M-21362 	&M-21362;	
M-21363 	&M-21363;	
M-21364 	&I-M-21364;	⿰⺩&GT-26617;
M-21365 	&M-21365;	
M-21366 	&M-21366;	
M-21367 	&M-21367;	
M-21368 	&M-21368;	
M-21369 	&M-21369;	
M-21370 	&M-21370;	
M-21371 	&M-21371;	
M-21372 	&M-21372;	
M-21373 	&M-21373;	⿰乇瓜
M-21374 	&M-21374;	
M-21375 	&M-21375;	⿺冘瓜
M-21376 	&GT-27391;	
M-21377 	&M-21377;	
M-21378 	&M-21378;	⿰瓜&C1-4464;
M-21379 	&M-21379;	
M-21380 	&I-M-21380;	
M-21381 	&M-21381;	
M-21382 	&M-21382;	
M-21383 	&M-21383;	
M-21384 	&M-21384;	⿺瓜包
M-21385 	&M-21385;	
M-21386 	&M-21386;	
M-21387 	&M-21387;	
M-21388 	&M-21388;	⿺瓜台
M-21389 	&M-21389;	
M-21390 	&M-21390;	
M-21391 	&M-21391;	
M-21392 	&M-21392;	
M-21393 	&M-21393;	⿰吉瓜
M-21394 	&M-21394;	⿰朿瓜
M-21395 	&M-21395;	
M-21396 	&M-21396;	⿰瓜&GT-35081;
M-21397 	&M-21397;	
M-21398 	&M-21398;	⿰步瓜
M-21399 	&M-21399;	
M-21400 	&M-21400;	
M-21401 	&M-21401;	⿰果瓜
M-21402 	&M-21402;	⿱叔瓜
M-21403 	&M-21403;	
M-21404 	&M-21404;	⿰幸瓜
M-21405 	&M-21405;	
M-21406 	&M-21406;	⿰侯瓜
M-21407 	&M-21407;	
M-21408 	&M-21408;	
M-21409 	&M-21409;	⿰癸瓜
M-21410 	&M-21410;	⿰&C2-2A3E;瓜
M-21411 	&M-21411;	
M-21412 	&M-21412;	
M-21413 	&M-21413;	
M-21414 	&M-21414;	
M-21415 	&M-21415;	
M-21416 	&M-21416;	
M-21417 	&M-21417;	
M-21418 	&M-21418;	
M-21419 	&M-21419;	
M-21420 	&M-21420;	
M-21421 	&M-21421;	
M-21422 	&M-21422;	
M-21423 	&M-21423;	
M-21424 	&M-21424;	
M-21425 	&I-M-21425;	
M-21426 	&M-21426;	
M-21427 	&M-21427;	
M-21428 	&M-21428;	
M-21429 	&M-21429;	
M-21430 	&M-21430;	
M-21431 	&M-21431;	
M-21432 	&M-21432;	
M-21433 	&M-21433;	⿱⿰瓜豕⿰虫虫
M-21434 	&M-21434;	
M-21435 	&M-21435;	
M-21436 	&M-21436;	
M-21437 	&M-21437;	
M-21438 	&I-M-21438;	
M-21439 	&M-21439;	
M-21440 	&M-21440;	
M-21441 	&M-21441;	
M-21442 	&I-M-21442;	⿺瓦十
M-21443 	&I-M-21443;	
M-21444 	&M-21444;	
M-21445 	&I-M-21445;	
M-21446 	&M-21446;	
M-21447 	&M-21447;	
M-21448 	&I-M-21448;	⿰工瓦
M-21449 	&M-21449;	
M-21450 	&I-M-21450;	⿺瓦千
M-21451 	&I-M-21451;	⿺瓦反
M-21452 	&I-M-21452;	⿱分󠄃瓦
M-21453 	&M-21453;	
M-21454 	&M-21454;	
M-21455 	&M-21455;	
M-21456 	&M-21456;	
M-21457 	&M-21457;	⿰&GT-17214;瓦
M-21458 	&I-M-21458;	⿰冘瓦
M-21459 	㼛	
M-21460 	&M-21460;	
M-21461 	&I-M-21461;	
M-21462 	&M-21462;	
M-21463 	&M-21463;	
M-21464 	&I-M-21464;	
M-21465 	&I-M-21465;	⿺瓦分󠄃
M-21466 	&I-M-21466;	⿺瓦毛
M-21467 	&I-M-21467;	⿺瓦&GT-09854;
M-21468 	&M-21468;	
M-21469 	&M-21469;	
M-21470 	&I-M-21470;	⿰古瓦
M-21471 	&I-M-21471;	
M-21472 	&M-21472;	
M-21473 	&I-M-21473;	⿰台瓦
M-21474 	&I-M-21474;	⿱央瓦
M-21475 	&I-M-21475;	⿰央瓦
M-21476 	&I-M-21476;	⿰㠯瓦
M-21477 	&I-M-21477;	⿱夗瓦
M-21478 	&I-M-21478;	⿰&M-17027;瓦
M-21479 	&I-M-21479;	⿰用瓦
M-21480 	&I-M-21480;	⿰出瓦
M-21481 	&M-21481;	
M-21482 	&I-M-21482;	⿰白瓦
M-21483 	&M-21483;	
M-21484 	&I-M-21484;	⿰朱瓦
M-21485 	&M-21485;	
M-21486 	&I-M-21486;	⿰并瓦
M-21487 	&I-M-21487;	⿰百瓦
M-21488 	&M-21488;	
M-21489 	&I-M-21489;	⿱&CDP-8CE9;瓦
M-21490 	&I-M-21490;	⿰圭瓦
M-21491 	&I-M-21491;	
M-21492 	&I-M-21492;	⿳刀⺴瓦
M-21493 	&I-M-21493;	⿰考瓦
M-21494 	&I-M-21494;	⿰同瓦
M-21495 	&I-M-21495;	⿰舟瓦
M-21496 	&I-M-21496;	⿰而瓦
M-21497 	&M-21497;	
M-21498 	&I-M-21498;	
M-21499 	&I-M-21499;	⿺瓦百
M-21500 	&I-M-21500;	⿰肙瓦
M-21501 	&I-M-21501;	⿰弟瓦
M-21502 	&I-M-21502;	⿰瓦⿱白八
M-21503 	&I-M-21503;	⿰甬瓦
M-21504 	&M-21504;	
M-21505 	&I-M-21505;	⿰&GT-04213;瓦
M-21506 	&I-M-21506;	⿰谷瓦
M-21507 	&M-21507;	
M-21508 	&I-M-21508;	⿰每瓦
M-21509 	&I-M-21509;	⿰镸瓦
M-21510 	&I-M-21510;	⿰吾瓦
M-21511 	&M-21511;	
M-21512 	&I-M-21512;	⿰巠瓦
M-21513 	&I-M-21513;	⿰希瓦
M-21514 	&I-M-21514;	⿰車瓦
M-21515 	&I-M-21515;	⿰夾瓦
M-21516 	&M-21516;	
M-21517 	&I-M-21517;	⿰⿰丿臣瓦
M-21518 	&I-M-21518;	⿱耴瓦
M-21519 	&I-M-21519;	⿺瓦里
M-21520 	&M-21520;	
M-21521 	&M-21521;	
M-21522 	&M-21522;	
M-21523 	&M-21523;	
M-21524 	&M-21524;	
M-21525 	&I-M-21525;	⿱尚瓦
M-21526 	&I-M-21526;	⿰委瓦
M-21527 	&I-M-21527;	⿰妻瓦
M-21528 	&I-M-21528;	⿰&AJ1-17425;瓦
M-21529 	&M-21529;	
M-21530 	&I-M-21530;	⿰阜瓦
M-21531 	&I-M-21531;	⿰東瓦
M-21532 	&I-M-21532;	⿱臤瓦
M-21533 	&I-M-21533;	⿰卑瓦
M-21534 	&I-M-21534;	⿰&GT-04385;瓦
M-21535 	&I-M-21535;	⿱&GT-03992;瓦
M-21536 	&I-M-21536;	⿰垂瓦
M-21537 	&I-M-21537;	
M-21538 	&M-21538;	
M-21539 	&I-M-21539;	⿰其瓦
M-21540 	&I-M-21540;	⿱其瓦
M-21541 	&M-21541;	
M-21542 	&I-M-21542;	⿰&CDP-8CAD;瓦
M-21543 	&I-M-21543;	⿰耎瓦
M-21544 	&M-21544;	
M-21545 	&M-21545;	
M-21546 	&I-M-21546;	⿰禺瓦
M-21547 	&I-M-21547;	⿰&GT-K05506;瓦
M-21548 	&I-M-21548;	⿰⿸声厶瓦
M-21549 	&I-M-21549;	⿱相瓦
M-21550 	&I-M-21550;	⿰&GT-14816;瓦
M-21551 	&M-21551;	
M-21552 	&I-M-21552;	⿺是瓦
M-21553 	&M-21553;	
M-21554 	&I-M-21554;	⿱秋瓦
M-21555 	&I-M-21555;	⿰耑瓦
M-21556 	&I-M-21556;	⿱缸瓦
M-21557 	&I-M-21557;	
M-21558 	&M-21558;	
M-21559 	&I-M-21559;	⿰⿴囗⿰幺幺瓦
M-21560 	&M-21560;	
M-21561 	&I-M-21561;	⿺瓦厘
M-21562 	&M-21562;	
M-21563 	&M-21563;	⿰盎瓦
M-21564 	&I-M-21564;	⿱&CDP-8BE3;瓦
M-21565 	&M-21565;	
M-21566 	&M-21566;	
M-21567 	&M-21567;	
M-21568 	&M-21568;	
M-21569 	&I-M-21569;	
M-21570 	&M-21570;	⿰臬瓦
M-21571 	&M-21571;	
M-21572 	&M-21572;	
M-21573 	&M-21573;	
M-21574 	&M-21574;	
M-21575 	&I-M-21575;	⿰茲瓦
M-21576 	&M-21576;	⿱埶瓦
M-21577 	&M-21577;	
M-21578 	&M-21578;	
M-21579 	&M-21579;	
M-21580 	&I-M-21580;	⿱從瓦
M-21581 	&M-21581;	
M-21582 	&I-M-21582;	⿰&M-24694;瓦
M-21583 	&I-M-21583;	⿰婁瓦
M-21584 	&I-M-21584;	⿰啇瓦
M-21585 	&I-M-21585;	⿰爽瓦
M-21586 	&I-M-21586;	
M-21587 	&I-M-21587;	
M-21588 	&M-21588;	
M-21589 	&I-M-21589;	⿰專瓦
M-21590 	&M-21590;	
M-21591 	&I-M-21591;	⿰國瓦
M-21592 	&M-21592;	
M-21593 	&I-M-21593;	⿺瓦專
M-21594 	&M-21594;	
M-21595 	&M-21595;	
M-21596 	&I-M-21596;	⿱彭瓦
M-21597 	&M-21597;	
M-21598 	&M-21598;	⿰粦瓦
M-21599 	&M-21599;	
M-21600 	&M-21600;	
M-21601 	&M-21601;	
M-21602 	&I-M-21602;	
M-21603 	&M-21603;	
M-21604 	&I-M-21604;	⿰無瓦
M-21605 	&M-21605;	
M-21606 	&I-M-21606;	⿱斯瓦
M-21607 	&M-21607;	
M-21608 	&M-21608;	
M-21609 	&I-M-21609;	⿱&GT-51571;瓦
M-21610 	&M-21610;	⿰詹瓦
M-21611 	&M-21611;	
M-21612 	&I-M-21612;	⿰當瓦
M-21613 	&I-M-21613;	⿰雷瓦
M-21614 	&I-M-21614;	⿱&CDP-8CF6;瓦
M-21615 	&M-21615;	
M-21616 	&I-M-21616;	⿱&CDP-8B65;瓦
M-21617 	&M-21617;	
M-21618 	&M-21618;	
M-21619 	&M-21619;	
M-21620 	&I-M-21620;	⿱賏瓦
M-21621 	&I-M-21621;	⿱疑瓦
M-21622 	&I-M-21622;	⿱&CDP-8D50;瓦
M-21623 	&M-21623;	
M-21624 	&M-21624;	⿰曇瓦
M-21625 	&M-21625;	
M-21626 	&I-M-21626;	
M-21627 	&M-21627;	
M-21628 	&M-21628;	
M-21629 	&M-21629;	
M-21630 	&M-21630;	
M-21631 	&M-21631;	
M-21632 	&M-21632;	
M-21633 	&M-21633;	
M-21634 	&M-21634;	
M-21635 	&M-21635;	
M-21636 	&M-21636;	
M-21637 	&M-21637;	
M-21638 	&M-21638;	
M-21639 	&M-21639;	
M-21640 	&M-21640;	
M-21641 	&M-21641;	
M-21642 	&M-21642;	
M-21643 	&I-M-21643;	
M-21644 	&I-M-21644;	
M-21645 	&I-M-21645;	⿱干甘
M-21646 	&I-M-21646;	⿰甘干
M-21647 	&M-21647;	⿱弋甘
M-21648 	&I-M-21648;	
M-21649 	𤯂	
M-21650 	&I-M-21650;	⿱氏甘
M-21651 	𤯄	
M-21652 	&I-M-21652;	⿰甘瓦
M-21653 	𤯅	
M-21654 	&I-M-21654;	⿰甘代
M-21655 	&I-M-21655;	⿰甘舌
M-21656 	&I-M-21656;	⿰舌甘
M-21657 	&M-21657;	⿰甘炎
M-21658 	&M-21658;	⿺&GT-44178;甘
M-21659 	&I-M-21659;	⿱尚甘
M-21660 	&M-21660;	⿰&GT-27811;冘
M-21661 	&I-M-21661;	⿰甘者
M-21662 	&M-21662;	
M-21663 	&I-M-21663;	⿰&GT-27811;&CDP-85C1;
M-21664 	&M-21664;	
M-21665 	&M-21665;	
M-21666 	&M-21666;	
M-21667 	&I-M-21667;	⿸厤甘
M-21668 	&M-21668;	
M-21669 	&I-M-21669;	⿰甘閻
M-21670 	&I-M-21670;	
M-21671 	&I-M-21671;	
M-21672 	&I-M-21672;	⿱一生
M-21673 	&M-21673;	
M-21674 	&M-21674;	
M-21675 	&I-M-21675;	⿱大生
M-21676 	&I-M-21676;	⿰日生
M-21677 	&M-21677;	
M-21678 	&I-M-21678;	⿱不生
M-21679 	&I-M-21679;	⿰生攵
M-21680 	&I-M-21680;	⿰生生
M-21681 	&I-M-21681;	⿱生母
M-21682 	&I-M-21682;	⿰因生
M-21683 	&I-M-21683;	⿰生朿
M-21684 	&M-21684;	⿱&GT-17008;&CDP-8C45;
M-21684'	産	⿱产生
M-21685 	&I-M-21685;	⿱厽生
M-21686 	&I-M-21686;	⿱生自
M-21687 	&I-M-21687;	⿺豕生
M-21688 	&M-21688;	
M-21689 	&I-M-21689;	⿰生男
M-21690 	&I-M-21690;	⿰男生
M-21691 	&I-M-21691;	
M-21692 	&M-21692;	⿱𤯓囧
M-21693 	&M-21693;	
M-21694 	&M-21694;	⿱生囧
M-21695 	&M-21695;	⿱始生
M-21696 	&M-21696;	⿱降生
M-21697 	&M-21697;	
M-21698 	&I-M-21698;	⿱甡月
M-21699 	&M-21699;	⿰舜生
M-21700 	&M-21700;	
M-21701 	&M-21701;	
M-21702 	&M-21702;	
M-21703 	&I-M-21703;	
M-21704 	&I-M-21704;	
M-21705 	&I-M-21705;	
M-21706 	&I-M-21706;	
M-21707 	&I-M-21707;	⿱龴用
M-21708 	&I-M-21708;	⿱夂用
M-21709 	&I-M-21709;	⿴&CDP-8BF5;⿱上&CDP-8BF1;
